Brand,Processors Type,Series,Name,Model,CPU Socket Type,Core Name,# of Cores,# of Threads,Operating Frequency,Max Turbo Frequency,L1 Cache,L2 Cache,L3 Cache,Manufacturing Tech,64-Bit Support,Memory Types,Memory Channel,Virtualization Technology Support,PCI Express Revision,Max Number of PCI Express Lanes,Thermal Design Power,Cooling Device,Date First Available,Hyper-Threading Support,Integrated Graphics,Graphics Base Frequency,Options,Cooling Devices,Hyper-Transport Support,Hyper Transports,Voltage,Integrated Memory Controller Speed,Multimedia Instruction,FSB,
AMD,Desktop,Ryzen 7 2nd Gen,Ryzen 7 2700X,YD270XBGAFBOX,Socket AM4,Pinnacle Ridge,8-Core,16,3.7 GHz,4.3 GHz,768KB,4MB,16MB,12nm,Yes,DDR4 2933,2,Yes,3.0,16,105W,Heatsink and fan included,April 12  2018,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 5 2nd Gen,Ryzen 5 2600X,YD260XBCAFBOX,Socket AM4,Pinnacle Ridge,6-Core,12,3.6 GHz,4.2 GHz,576KB,3MB,16MB,12nm,Yes,DDR4 2933,2,Yes,3.0,16,95W,Heatsink and fan included,December 03  2018,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 7 2nd Gen,Ryzen 7 2700,YD2700BBAFBOX,Socket AM4,Pinnacle Ridge,8-Core,16,3.2 GHz,4.1 GHz,768KB,4MB,16MB,12nm,Yes,DDR4 2933,2,Yes,3.0,16,65W,Heatsink and fan included,April 12  2018,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 5 2nd Gen,Ryzen 5 2600,YD2600BBAFBOX,Socket AM4,Pinnacle Ridge,6-Core,12,3.4 GHz,3.9 GHz,576KB,3MB,16MB,12nm,Yes,DDR4 2933,2,None,3.0,16,65W,Heatsink and fan included,April 05  2018,Yes,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen Threadripper 2nd Gen,Ryzen Threadripper 2950X,YD295XA8AFWOF,Socket sTR4,None,16-Core,32,3.5 GHz base and 4.4 GHz max boost clocks,4.4 GHz Max boost clocks,1.5MB,8MB,32MB,12nm,Yes,DDR4 2933,4,None,3.0,64,180W,Cooling device not included - Processor Only,August 28  2018,Yes,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 5 3rd Gen,Ryzen 5 3600,100-100000031BOX,Socket AM4,Matisse,6-Core,12,3.6 GHz,4.2 GHz,None,3MB,32MB,7nm,Yes,DDR4 3200,2,Yes,4.0,16,65W,Heatsink and fan included,July 02  2019,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 7 3rd Gen,Ryzen 7 3700X,100-100000071BOX,Socket AM4,Matisse,8-Core,16,3.6 GHz,4.4 GHz,512KB,4MB,32MB,7nm,Yes,DDR4 3200,2,Yes,4.0,16,65W,Heatsink and fan included,July 02  2019,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 9 3rd Gen,Ryzen 9 3900X,100-100000023BOX,Socket AM4,Matisse,12-Core,24,3.8 GHz,4.6 GHz,None,6MB,64MB,7nm,Yes,DDR4 3200,2,Yes,4.0,16,105W,Heatsink and fan included,July 02  2019,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 5 3rd Gen,Ryzen 5 3400G,YD3400C5FHBOX,Socket AM4,None,Quad-Core,8,3.7 GHz,4.2 GHz,384KB,2MB,4MB,12nm,None,DDR4 2933,2,None,3.0,8,65W,Heatsink and fan included,July 02  2019,None,Radeon RX Vega 11 Graphics,1400 MHz,Ryzen 5 3400G,Air Cooler,None,None,None,None,None,None
AMD,Desktop,Ryzen 5 3rd Gen,Ryzen 5 3600X,100-100000022BOX,Socket AM4,Matisse,6-Core,12,3.8 GHz,4.4 GHz,None,3MB,32MB,7nm,Yes,DDR4 3200,2,Yes,4.0,16,95W,Heatsink and fan included,July 18  2019,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 7 3rd Gen,Ryzen 7 3800X,100-100000025BOX,Socket AM4,Matisse,8-Core,16,3.9 GHz,4.5 GHz,None,4MB,32MB,7nm,Yes,DDR4 3200,2,None,4.0,16,105W,Heatsink and fan included,September 04  2019,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 9 3rd Gen,Ryzen 9 3950X,100-100000051WOF,Socket AM4,None,16-Core,32,3.5 GHz,4.7 GHz,None,8MB,64MB,7nm,Yes,DDR4 3200,2,None,4.0,16,105W,Cooling device not included - Processor Only,November 25  2019,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen Threadripper 3rd Gen,Ryzen Threadripper 3970X,100-100000011WOF,Socket sTRX4,None,32-Core,64,3.7 GHz,Up to 4.5 GHz,3MB,16MB,128MB,None,None,DDR4 3200,4,None,4.0,None,280W,None,November 25  2019,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen Threadripper 3rd Gen,Ryzen Threadripper 3960X,100-100000010WOF,Socket sTRX4,None,24-Core,48,3.8 GHz,Up to 4.5 GHz,2.25MB,12MB,128MB,7nm,None,DDR4 3200,4,None,4.0,None,280W,None,November 25  2019,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 3 1st Gen,Ryzen 3 1200,YD1200BBAEBOX,Socket AM4,Summit Ridge,Quad-Core,4,3.1 GHz,3.4 GHz,384KB,2MB,8MB,14nm,None,DDR4 2667,2,None,3.0,None,65W,Heatsink and fan included,August 04  2017,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen Threadripper 1st Gen,Ryzen Threadripper 1900X,YD190XA8AEWOF,Socket sTR4,Summit Ridge,8-Core,16,3.8 GHz,4.0 GHz,768KB,4MB,16MB,14nm,Yes,DDR4 2667,4,Yes,3.0,None,180W,Cooling device not included - Processor Only,August 30  2017,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 7 1st Gen,Ryzen 7 1700,YD1700BBAEBOX,Socket AM4,Summit Ridge,8-Core,16,3.0 GHz,3.7 GHz,768KB,4MB,16MB,14nm,None,DDR4 2667,2,Yes,3.0,None,65W,Heatsink and fan included,February 22  2017,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen Threadripper 1st Gen,Ryzen Threadripper 1920X,YD192XA8AEWOF,Socket sTR4,Summit Ridge,12-Core,24,3.5 GHz base and 4.0 GHz precision boost clocks,4.0 GHz precision boost clocks,1.125MB,6MB,32MB,14nm,None,DDR4,4,Yes,3.0,64,180W,Cooling device not included - Processor Only,October 10  2018,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen Threadripper 2nd Gen,Ryzen Threadripper 2990WX,YD299XAZAFWOF,Socket sTR4,None,32-Core,64,3.0 GHz base and 4.2 GHz max boost clocks,4.2 GHz Max boost clocks,3MB,16MB,64MB,12nm,Yes,DDR4 2933,4,None,3.0,None,250W,Cooling device not included - Processor Only,August 05  2018,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 5 1st Gen,Ryzen 5 1600,YD1600BBAEBOX,Socket AM4,Summit Ridge,6-Core,12,3.2 GHz,3.6 GHz,576KB,3MB,16MB,14nm,None,DDR4 2667,2,Yes,3.0,16,65W,Heatsink and fan included,April 10  2017,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen Threadripper 2nd Gen,Ryzen Threadripper 2920X,YD292XA8AFWOF,Socket sTR4,None,12-Core,24,3.5 GHz,4.3 GHz,1.125MB,6MB,32MB,12nm,Yes,DDR4 2933,4,None,3.0,None,180W,Cooling device not included - Processor Only,March 27  2019,Yes,None,None,Ryzen Threadripper 2920X,None,None,None,None,None,None,None
AMD,Desktop,Ryzen Threadripper 2nd Gen,Ryzen Threadripper 2970WX,YD297XAZAFWOF,Socket sTR4,None,24-Core,48,3.0 GHz,4.2 GHz,2.25MB,12MB,64MB,12nm,Yes,DDR4 2933,4,None,3.0,None,250W,Cooling device not included - Processor Only,October 26  2018,Yes,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 3 3rd Gen,Ryzen 3 3200G,YD3200C5FHBOX,Socket AM4,None,Quad-Core,4,3.6 GHz,4.0 GHz,384KB,2MB,4MB,12nm,None,DDR4 2933,2,None,3.0,8,65W,Heatsink and fan included,July 31  2019,None,Radeon Vega 8 Graphics,1250 MHz,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 3 2nd Gen,Ryzen 3 2200G,YD2200C5FBBOX,Socket AM4,Raven Ridge,Quad-Core,4,3.5 GHz,3.7 GHz,384KB,2MB,4MB,14nm,Yes,DDR4 2933,2,None,3.0,None,65W,Heatsink and fan included,June 08  2019,None,Radeon Vega 8 Graphics,1100 MHz,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 7 1st Gen,Ryzen 7 1700X,YD170XBCAEWOF,Socket AM4,Summit Ridge,8-Core,16,3.4 GHz,3.8 GHz,768KB,4MB,16MB,14nm,None,DDR4 2667,2,Yes,3.0,None,95W,Cooling device not included - Processor Only,October 19  2018,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 3 1st Gen,Ryzen 3 1300X,YD130XBBAEBOX,Socket AM4,Summit Ridge,Quad-Core,4,3.5 GHz,3.7 GHz,384KB,2MB,8MB,14nm,None,DDR4,2,None,3.0,None,65W,Heatsink and fan included,August 22  2019,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 7 1st Gen,Ryzen 7 1800X,YD180XBCAEWOF,Socket AM4,Summit Ridge,8-Core,16,3.6 GHz,4.0 GHz,768KB,4MB,16MB,14nm,None,DDR4,2,Yes,3.0,None,95W,Cooling device not included - Processor Only,August 16  2019,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 5 1st Gen,Ryzen 5 1600X,YD160XBCAEWOF,Socket AM4,Summit Ridge,6-Core,12,3.6 GHz,4.0 GHz,576KB,3MB,16MB,14nm,Yes,DDR4 2667,2,Yes,3.0,None,95W,Cooling device not included - Processor Only,July 21  2019,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 5 1st Gen,Ryzen 5 1400,YD1400BBAEBOX,Socket AM4,Summit Ridge,Quad-Core,8,3.2 GHz,3.4 GHz,384KB,2MB,8MB,14nm,Yes,DDR4 2667,2,Yes,3.0,None,65W,Heatsink and fan included,July 21  2019,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 5 1st Gen,Ryzen 5 1500X,YD150XBBAEBOX,Socket AM4,Summit Ridge,Quad-Core,8,3.5 GHz,3.7 GHz,384KB,2MB,16MB,14nm,Yes,DDR4 2667,2,Yes,None,None,65W,Heatsink and fan included,April 27  2017,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 5 2nd Gen,Ryzen 5 2400G,YD2400C5FBBOX,Socket AM4,Raven Ridge,Quad-Core,8,3.6 GHz,3.9 GHz,384KB,2MB,4MB,14nm,Yes,DDR4 2933,2,None,3.0,None,65W,Heatsink and fan included,November 29  2018,None,Radeon RX Vega 11 Graphics,1250 MHz,None,None,None,None,None,None,None,None
AMD,Desktop,Athlon,Athlon 240GE,YD240GC6FBBOX,Socket AM4,None,Dual-Core,4,3.5 GHz,None,192KB,1MB,4MB,14nm,Yes,None,2,None,3.0,None,35W,Heatsink and fan included,January 02  2020,Yes,Radeon Vega 3 Graphics,1 GHz,None,None,None,None,None,None,None,None
AMD,Desktop,Athlon,Athlon 220GE,YD220GC6FBBOX,Socket AM4,None,Dual-Core,4,3.4 GHz,None,192KB,1MB,4MB,14nm,Yes,None,2,Yes,3.0,None,35W,Heatsink and fan included,November 05  2019,Yes,Radeon Vega 3 Graphics,1 GHz,None,None,None,None,None,None,None,None
AMD,Desktop,Athlon,Athlon 200GE,YD200GC6FBBOX,Socket AM4,None,Dual-Core,4,3.2 GHz,None,192KB,1MB,4MB,14nm,None,DDR4 2667,2,None,3.0,None,35W,Heatsink and fan included,January 11  2019,Yes,Radeon Vega 3 Graphics,1 GHz,None,None,None,None,None,None,None,None
AMD,None,FX-6000 Series,FX-6300,FD6300WMHKBOX,Socket AM3+,Vishera,6-Core,6,3.5 GHz,4.1 GHz,None,3 x 2MB,8MB,32nm,Yes,DDR3-1866,2,Yes,None,None,95W,Heatsink and fan included,January 12  2020,None,None,None,None,None,None,None,None,None,None,None
AMD,None,FX-8000 Series,FX-8320E,FD832EWMHKBOX,Socket AM3+,Vishera,8-Core,None,3.2GHz (4.0GHz Turbo),None,None,4 x 2MB,8MB,32nm,Yes,None,None,Yes,None,None,95W,Heatsink and fan included,January 16  2019,None,None,None,None,None,None,None,None,None,None,None
AMD,None,FX-8000 Series,FX-8350 Black Edition,FD8350FRHKBOX,Socket AM3+,Vishera,8-Core,8,4.0 GHz,4.2 GHz,384KB,8MB,8MB,32nm,Yes,DDR3 1866,None,Yes,None,None,125W,Heatsink and fan included,January 09  2020,None,None,None,None,None,None,None,None,None,None,None
AMD,None,FX-Series,FX-6100,FD6100WMGUSBX,Socket AM3+,Zambezi,6-Core,None,3.3 GHz,None,None,6MB,8MB,32nm,Yes,None,None,Yes,None,None,95W,Heatsink and fan included,September 09  2019,None,None,None,None,None,Yes,None,None,None,None,None
AMD,Without Fan and Original Package(Used-Like New)!,FX-8000 Series,FX-8320,FD8320FRHKBOX,Socket AM3+,Vishera,8-Core,8,3.5 GHz (4.0 GHz Turbo),None,None,4 x 2MB,8MB,32nm,Yes,None,None,Yes,None,None,125W,Heatsink and fan included,January 24  2020,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Phenom II X4,Phenom II X4 955 Black Edition,HDZ955FBGIBOX,Socket AM3,Deneb,Quad-Core,None,3.2 GHz,None,None,4 x 512KB,6MB,45nm,Yes,None,None,Yes,None,None,125W,Heatsink and fan included,August 20  2019,None,None,None,None,None,Yes,4000 MHz,0.875V - 1.5V,None,None,None
AMD,Desktop,Ryzen 7 2nd Gen,Ryzen 7 2700X 50 Gold Edition,YD270XBGAFA50,Socket AM4,Pinnacle Ridge,8-Core,16,3.7 GHz,4.3 GHz,768KB,4MB,16MB,12nm,Yes,None,2,Yes,3.0,16,105W,Heatsink and fan included,June 27  2019,Yes,None,None,None,None,None,None,None,None,None,None
AMD,None,Phenom II X2,Phenom II X2 550 Black Edition,HDZ550WFGIBOX,Socket AM3,Callisto,Dual-Core,None,3.1 GHz,None,None,None,6MB,45nm,Yes,None,None,Yes,None,None,80W,Heatsink and fan included,March 01  2018,None,None,None,None,None,Yes,None,0.85V - 1.425V,DDR2-1066MHz DDR3-1333MHz,None,None
AMD,Desktop,A10 7th Gen,A10-9700,AD9700AGABBOX,Socket AM4,Bristol Ridge,Quad-Core,4,3.5 GHz,3.8 GHz,None,2MB,None,28nm,None,DDR4 2400,2,None,3.0,8,65W,Heatsink and fan included,January 07  2019,None,AMD Radeon R7,1029 MHz,None,None,None,None,None,None,None,None
AMD,Desktop,A6 7th Gen,A6-9500E,AD9500AHABBOX,Socket AM4,Bristol Ridge,Dual-Core,2,3.0 GHz,3.4 GHz,None,1MB,None,28nm,None,DDR4-2400,2,None,3.0,8,35W,Heatsink and fan included,October 04  2018,None,AMD Radeon R5,800 MHz,None,None,None,None,None,None,None,None
AMD,Desktop,A6 7th Gen,A6-7400K,AD740KYBJABOX,Socket FM2+,Kaveri,Dual-Core,2,3.5 GHz,3.9 GHz,128KB,2MB,None,28nm,None,DDR3 1866,2,Yes,None,None,65W,None,February 08  2019,None,AMD Radeon R5,None,None,None,None,None,None,None,None,None
AMD,Desktop,A6 7th Gen,A6-9500,AD9500AGABBOX,Socket AM4,None,Dual-Core,2,3.5 GHz,3.8 GHz,None,1MB,None,28nm,None,DDR4 2400,2,None,3.0,8,65W,Heatsink and fan included,July 29  2018,None,AMD Radeon R5,1029 MHz,None,None,None,None,None,None,None,None
AMD,Desktop,A8 7th Gen,A8-9600,AD9600AGABBOX,Socket AM4,Bristol Ridge,Quad-Core,4,3.1 GHz,3.4 GHz,None,2MB,None,28nm,None,DDR4-2400,2,None,3.0,8,65W,Heatsink and fan included,October 26  2018,None,AMD Radeon R7,900 MHz,None,None,None,None,None,None,None,None
AMD,Desktop,FX-8000 Series,FX-8350 Black Edition,FD8350FRHKHBX,Socket AM3+,Vishera,8-Core,8,4.0 GHz,4.2 GHz,384KB,8MB,8MB,32nm,Yes,DDR3-1866,2,Yes,None,None,125W,Heatsink and fan included,July 23  2018,None,None,None,None,None,None,None,None,None,None,None
AMD,None,Phenom II X6,Phenom II X6 1100T Black Edition,HDE00ZFBGRBOX,Socket AM3,Thuban,6-Core,None,3.3GHz  3.7GHz Turbo,None,None,6 x 512KB,6MB,45nm,Yes,None,None,Yes,None,None,125W,Heatsink and fan included,July 19  2018,None,None,None,None,None,Yes,4000 MHz,1.0V-1.475V,None,MMX  3DNow!  SSE  SSE2  SSE3  SSE4a  ABM  AMD 64  EVP,None
AMD,Desktop,FX-Series,FX-8300,FD8300WMW8KHK,Socket AM3+,Vishera,8-Core,8,3.3 GHz,4.20 GHz,None,4 x 2MB,8MB,32nm,Yes,None,None,None,None,None,95W,None,January 12  2020,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,A12 7th Gen,A12-9800,AD9800AUABBOX,Socket AM4,Bristol Ridge,Quad-Core,4,3.8 GHz,4.2 GHz,None,2MB,None,28nm,None,DDR4-2400,2,None,3.0,8,65W,Heatsink and fan included,November 27  2018,None,AMD Radeon R7,1108 MHz,None,None,None,None,None,None,None,None
AMD,Desktop,Ryzen 5 2nd Gen,Ryzen 5 2400G,YD2400C5M4MFB,Socket AM4,Raven Ridge,Quad-Core,8,3.6 GHz,3.9 GHz,None,2MB,4MB,14nm,Yes,None,None,None,3.0,None,65W,Cooling device not included - Processor Only,August 23  2018,None,Radeon RX Vega 11 Graphics,1250 MHz,None,None,None,None,None,None,None,None
AMD,Desktop,A-Series APU,A10-7850K,AD785KXBJABOX,Socket FM2+,Kaveri,Quad-Core,4,3.7 GHz,4.0 GHz,None,2 x 2MB,None,28nm,Yes,None,None,None,None,None,95W,Heatsink and fan included,August 13  2018,None,AMD Radeon R7,720 MHz,None,None,None,None,None,None,None,None
AMD,None,Phenom II X6,Phenom II X6 1055T,HDT55TFBGRBOX,Socket AM3,Thuban,6-Core,None,2.8 GHz,None,None,6 x 512KB,6MB,45nm,Yes,None,None,Yes,None,None,125W,Heatsink and fan included,July 21  2019,None,None,None,None,None,Yes,4000 MHz,None,Dual Channel PC3-10667U (DDR3-1333) for 2 modules  Dual Channel PC3-8500U (DDR3-1066)  Dual Channel PC2-8500U (DDR2-1066),MMX  3DNow!  SSE  SSE2  SSE3  SSE4a  Advanced Bit Manipulation  AMD64 technology  AMD-V (virtualization) technology  Enhanced Virus Protection  Dynamic Acceleration technology,None
AMD,Used-Like New! Without Fan and Original Package!,FX-6000 Series,FX-6350,FD6350FRHKHBX,Socket AM3+,Vishera,6-Core,6,3.9 GHz,4.2 GHz,None,None,8MB,32nm,Yes,None,None,Yes,None,None,125W,None,September 09  2019,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,None,None,FD8350FRW8KHK,Socket AM3+,None,8-Core,None,4.0 GHz,None,384 KB,8MB,8MB,32nm,Yes,None,None,None,None,None,None,None,December 16  2019,None,None,None,None,None,None,2600 MHz,None,None,None,None
AMD,None,A6 Series,A6-6400K,AD640KOKHLBOX,Socket FM2,Richland,Dual-Core,None,3.9 GHz,None,None,1MB,None,32nm,Yes,None,None,Yes,None,None,65W,None,January 03  2020,None,AMD Radeon HD,None,None,None,None,None,None,DDR3,None,None
AMD,Desktop,Sempron,Sempron 2650,SD2650JAHMBOX,Socket AM1,Kabini,Dual-Core,None,1.4 GHz,None,None,1MB,None,28nm,Yes,None,None,Yes,None,None,25W,Heatsink and fan included,June 29  2016,None,AMD Radeon HD 8240,400MHz,None,None,None,None,None,None,None,None
AMD,Desktop,A8 Series,A8-7650K,AD765KXBJASBX,Socket FM2+,Kaveri,Quad-Core,4,3.3 GHz,3.8 GHz,None,2 x 2MB,None,28nm,Yes,None,None,Yes,None,None,95W,None,February 11  2019,None,AMD Radeon R7,None,None,None,None,None,None,None,None,None
AMD,Desktop,Athlon X4,Athlon X4 870k,AD870KXBJCSBX,Socket FM2+,Godavari,Quad-Core,4,3.9 GHz,4.1 GHz,None,2 x 2MB,None,28nm,Yes,None,None,Yes,None,None,95W,None,February 06  2019,None,None,None,None,None,None,None,None,None,None,None
AMD,Desktop,Sempron,Sempron 3850,SD3850JAHMBOX,Socket AM1,Kabini,Quad-Core,None,1.3 GHz,None,None,2MB,None,28nm,Yes,None,None,Yes,None,None,25W,Heatsink and fan included,June 29  2016,None,AMD Radeon HD 8280,450MHz,None,None,None,None,None,None,None,None
AMD,None,Phenom II X3,Phenom II X3 720,HDZ720WFGIBOX,Socket AM3,None,Triple-Core,None,2.8 GHz,None,128KB+128KB,3 x 512KB,6MB,45 nm SOI,Yes,None,None,None,None,None,95W,Heatsink and fan included,March 01  2018,None,None,None,None,None,None,4000 MHz,None,None,None,None
AMD,Desktop,Athlon 64 X2,Athlon 64 X2 5200,ADO5200DOBOX,Socket AM2,Brisbane,Dual-Core,None,2.7 GHz,None,128KB+128KB,2 x 512KB,None,65nm,Yes,None,None,Yes,None,None,65W,Heatsink and fan included,March 01  2018,None,None,None,None,None,Yes,2000 MHz,1.325/1.35/1.375V,None,MMX  SSE  SSE2  SSE3  3DNOW! Professional,None
AMD,Desktop,K6-2,K6-2,K62500AFX-N,Socket 7,Chomper,None,None,500 MHz,None,64KB,None,None,250nm,None,None,None,None,None,None,None,None,March 01  2018,None,None,None,None,None,No,None,2.2V,None,MMX   3DNOW!,100 MHz
AMD,Desktop,Athlon II X3,Athlon II X3 435,ADX435WFGIBOX,Socket AM3,Rana,Triple-Core,None,2.9 GHz,None,None,3 x 512KB,None,45nm,Yes,None,None,Yes,None,None,95W,Heatsink and fan included,March 01  2018,None,None,None,None,None,Yes,4000 MHz,None,None,None,None
